run_timestamp,experiment_id,model,area,history_or_lags,train_period,validation_period,test_period,evaluated_on,parameters,MAE,RMSE,MAPE,training_time_seconds,inference_time_seconds,observation,next_decision
2026-09-09 22:12:19+0200,AR-4,Selected-Lag Autoregressive Model,5259,"AR-3 + weekly lags | lags=1,2,3,4,5,6,143,144,145,287,288,289,1007,1008,1009",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,16,78.82643578070406,114.39975389861792,7.136351400418888,0.0014485004357993,4.900014027953148e-05,cond(X)=1.172e+04 rank=16,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-FINAL,Selected-Lag Autoregressive Model,5161,frozen AR-4 | AR-3 + weekly lags,2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,16,87.94092563903183,129.019076275182,9.059278128101646,0.0012904000468552,7.090019062161446e-05,selected by mean validation MAE; final test metrics not used for selection,compare against LSTM and TCN in a later stage
2026-09-09 22:12:19+0200,AR-FINAL,Selected-Lag Autoregressive Model,5059,frozen AR-4 | AR-3 + weekly lags,2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,16,91.56311319947164,127.52652707592073,9.265782728191336,0.0016348999924957,7.160007953643799e-05,selected by mean validation MAE; final test metrics not used for selection,compare against LSTM and TCN in a later stage
2026-09-09 22:12:19+0200,AR-FINAL,Selected-Lag Autoregressive Model,5259,frozen AR-4 | AR-3 + weekly lags,2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,16,65.80211155459602,92.37623154587315,7.610335286178402,0.0018585999496281,7.080007344484329e-05,selected by mean validation MAE; final test metrics not used for selection,compare against LSTM and TCN in a later stage
2026-09-09 22:33:14+0200,LSTM-A1,LSTM (PyTorch),5161,"seq_len=36, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,104.63354195668892,154.91003043164923,9.08704867161924,27.73980870004744,0.0104705998674035,epochs=35 best_epoch=25 best_val_loss=0.012426 train_samples=5436,select on mean validation MAE
2026-09-09 22:33:14+0200,LSTM-A1,LSTM (PyTorch),5059,"seq_len=36, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,93.12569983957182,133.46003624273797,8.104472261622785,15.367393599823115,0.0093718999996781,epochs=25 best_epoch=15 best_val_loss=0.019463 train_samples=5436,select on mean validation MAE
2026-09-09 22:33:14+0200,LSTM-A1,LSTM (PyTorch),5259,"seq_len=36, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,76.21857273588438,109.2193414168516,7.041865740039978,20.99888620013371,0.0110251000151038,epochs=34 best_epoch=24 best_val_loss=0.009522 train_samples=5436,select on mean validation MAE
2026-09-09 22:33:14+0200,LSTM-A2,LSTM (PyTorch),5161,"seq_len=72, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,107.3573934969891,154.43150178538545,10.454937707654894,34.55018150014803,0.0178074999712407,epochs=35 best_epoch=25 best_val_loss=0.012349 train_samples=5400,select on mean validation MAE
2026-09-09 22:33:14+0200,LSTM-A2,LSTM (PyTorch),5059,"seq_len=72, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,93.06814062716356,133.055403091243,7.817604564400617,52.214855200145394,0.0178890000097453,epochs=53 best_epoch=43 best_val_loss=0.019345 train_samples=5400,select on mean validation MAE
2026-09-09 22:33:14+0200,LSTM-A2,LSTM (PyTorch),5259,"seq_len=72, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,76.38765416617528,110.33105087026782,7.060992985551834,38.45595630025491,0.0159729998558759,epochs=39 best_epoch=29 best_val_loss=0.009717 train_samples=5400,select on mean validation MAE
2026-09-09 22:33:14+0200,LSTM-A3,LSTM (PyTorch),5161,"seq_len=144, hidden=32, 1 layer",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,4513,104.63737673215373,152.78731311630514,9.525771917412882,50.027080399915576,0.0470039998181164,epochs=28 best_epoch=18 best_val_loss=0.012087 train_samples=5328,select on mean validation MAE
